out_name,frequency,units,long_name,standard_name,priority,comment,cell_methods,cell_measures,dimensions,type,positive,valid_min,valid_max,ok_min_mean_abs,ok_max_mean_abs
va200,day,m s-1,Northward Wind,northward_wind,TIER1,#T33,area: time: mean,area: areacella,longitude latitude time p200,real,,,,,
va200,1hr,m s-1,Northward Wind,northward_wind,TIER1,#T33,area: mean time: point,area: areacella,longitude latitude time1 p200,real,,,,,
ta1000,day,K,Air Temperature,air_temperature,TIER1,#T33,area: time: mean,area: areacella,longitude latitude time p1000,real,,,,,
ta1000,1hr,K,Air Temperature,air_temperature,TIER1,#T33,area: mean time: point,area: areacella,longitude latitude time1 p1000,real,,,,,
ta925,day,K,Air Temperature,air_temperature,TIER1,#T33,area: time: mean,area: areacella,longitude latitude time p925,real,,,,,
ta925,1hr,K,Air Temperature,air_temperature,TIER1,#T33,area: mean time: point,area: areacella,longitude latitude time1 p925,real,,,,,
ta850,day,K,Air Temperature,air_temperature,TIER1,#T33,area: time: mean,area: areacella,longitude latitude time p850,real,,,,,
ta850,1hr,K,Air Temperature,air_temperature,TIER1,#T33,area: mean time: point,area: areacella,longitude latitude time1 p850,real,,,,,
ta700,day,K,Air Temperature,air_temperature,TIER1,#T33,area: time: mean,area: areacella,longitude latitude time p700,real,,,,,
ta700,1hr,K,Air Temperature,air_temperature,TIER1,#T33,area: mean time: point,area: areacella,longitude latitude time1 p700,real,,,,,
ta500,day,K,Air Temperature,air_temperature,TIER1,#T33,area: time: mean,area: areacella,longitude latitude time p500,real,,,,,
ta500,1hr,K,Air Temperature,air_temperature,TIER1,#T33,area: mean time: point,area: areacella,longitude latitude time1 p500,real,,,,,
ta200,day,K,Air Temperature,air_temperature,TIER1,#T33,area: time: mean,area: areacella,longitude latitude time p200,real,,,,,
ta200,1hr,K,Air Temperature,air_temperature,TIER1,#T33,area: mean time: point,area: areacella,longitude latitude time1 p200,real,,,,,
hus1000,day,1,Specific Humidity,specific_humidity,TIER1,#T33,area: time: mean,area: areacella,longitude latitude time p1000,real,,,,,
hus1000,1hr,1,Specific Humidity,specific_humidity,TIER1,#T33,area: mean time: point,area: areacella,longitude latitude time1 p1000,real,,,,,
hus925,day,1,Specific Humidity,specific_humidity,TIER1,#T33,area: time: mean,area: areacella,longitude latitude time p925,real,,,,,
hus925,1hr,1,Specific Humidity,specific_humidity,TIER1,#T33,area: mean time: point,area: areacella,longitude latitude time1 p925,real,,,,,
hus850,day,1,Specific Humidity,specific_humidity,TIER1,#T33,area: time: mean,area: areacella,longitude latitude time p850,real,,,,,
hus850,1hr,1,Specific Humidity,specific_humidity,TIER1,#T33,area: mean time: point,area: areacella,longitude latitude time1 p850,real,,,,,
hus700,day,1,Specific Humidity,specific_humidity,TIER1,#T33,area: time: mean,area: areacella,longitude latitude time p700,real,,,,,
hus700,1hr,1,Specific Humidity,specific_humidity,TIER1,#T33,area: mean time: point,area: areacella,longitude latitude time1 p700,real,,,,,
